numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,position,manner,place,voicing,palatalization,stress
4,o,0.139884943230067,0.552741916108358,190.388271717757,196.79913206379,182.110261255369,399.7444487296882,1152.8601611699205,2667.2410960077405,56.9120947279581,57.4261011325383,subj2,24-2,no,S,NA,NA,NA,NA,NA
2,ɨ,0.14446327440178,0.45994241058665,224.532138868739,243.897573891256,209.168609667829,422.535677033378,2141.52123367748,3437.60352868836,63.0858971381617,63.8251494702996,subj2,25-1,no,S,NA,NA,NA,NA,NA
4,ə,0.136635215197742,0.699409858055609,231.774239171323,241.068303627947,220.946224922395,753.656048578852,1607.0957678293,2851.39540615426,59.0850145076866,62.0190615081837,subj2,25-1,second,F,NA,NA,NA,NA,NA
2,ɨ̞,0.115805924962637,0.448514971690905,228.235440353586,229.643722423206,220.137626672901,439.341229788779,1615.58440430581,2685.64645934147,62.1207374197671,62.5457854292094,subj2,25-2,first,R,NA,NA,NA,NA,NA
4,a,0.193162451913964,0.734825667596556,178.554178820993,181.111274289835,173.145939483376,833.062922696386,1683.02397839887,2801.09628907444,55.6936778738272,56.7356989159306,subj2,25-2,no,S,NA,NA,NA,NA,NA
2,a,0.160973004534021,0.388544623016718,221.687638385356,239.659906408685,202.737544327519,751.3365408168355,1439.7057153363917,2707.0929720521053,59.6755866877527,60.9620462604602,subj2,26-1,no,S,NA,NA,NA,NA,NA
4,ə,0.0963086351912946,0.62037326629862,227.9778357086,236.308791901591,225.863723951428,349.2834859635451,1318.3675158954932,2589.4159906485347,59.3067417010445,61.3322725237012,subj2,26-1,second,T,NA,NA,NA,NA,NA
2,ɐ,0.101458810770592,0.317664492921637,221.208893339874,221.791327650585,213.61187702731,546.679658613817,1503.57768289703,3054.74522888801,58.8160223866048,59.1452709140168,subj2,26-2,first,R,NA,NA,NA,NA,NA
4,o,0.153205353402844,0.560817135248757,184.542554136602,192.493261675303,180.301665771655,576.486000317772,2053.61489905043,3665.37178726557,61.2022262266019,61.5814032010182,subj2,26-2,no,S,NA,NA,NA,NA,NA
2,a,0.174248055148048,0.284421842490251,222.228073728998,233.75350724559,204.341263176508,894.9923785855087,1593.7526003269768,3042.5647591187458,60.0137021024656,62.0722761692094,subj2,27-1,no,S,NA,NA,NA,NA,NA
4,ə,0.126339498965436,0.548018543459299,226.700857887589,230.763596497746,210.957644594062,494.8286037229392,1504.4953209922676,2788.2357723972373,59.5159032143238,61.2131649775801,subj2,27-1,second,F,NA,NA,NA,NA,NA
2,ɐ,0.0951819112099724,0.32476812668538,223.774688430061,225.965351754785,214.154408597034,859.395440075402,1823.66228512618,3967.9552230775,61.6585254830218,61.9997467831724,subj2,27-2,first,R,NA,NA,NA,NA,NA
